[Header]	
System	TOC_TN	
S/W Version	1.00	
User		
Date/Time	23/12/2022 09:11:58	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	SD Area	CV Area	SD Conc	CV Conc	Excluded	Inj. Vol.	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TC_05_5ppm.2021_10_13_13_22_14.cal	1.00			12/12/2022 11:45:06	1	1	TC	0.000	0.8324	-0.2527	-0.1281	TC:-0.1281mg/L TN:0.2560mg/L	TC:-0.1281mg/L TN:0.2560mg/L	0.2193	26.35	0.03284	-25.64	1	81	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TC_05_5ppm.2021_10_13_13_22_14.cal	1.00			12/12/2022 11:47:27	1	2	TC	0.6773	0.8324	-0.1513	-0.1281	TC:-0.1281mg/L TN:0.2560mg/L	TC:-0.1281mg/L TN:0.2560mg/L	0.2193	26.35	0.03284	-25.64	0	81	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TC_05_5ppm.2021_10_13_13_22_14.cal	1.00			12/12/2022 11:49:57	1	3	TC	0.9875	0.8324	-0.1049	-0.1281	TC:-0.1281mg/L TN:0.2560mg/L	TC:-0.1281mg/L TN:0.2560mg/L	0.2193	26.35	0.03284	-25.64	0	81	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TN_05_5ppm.2021_10_14_03_07_56.cal	1.00			12/12/2022 11:45:06	1	1	TN	0.08420	0.2924	0.2291	0.2560	TC:-0.1281mg/L TN:0.2560mg/L	TC:-0.1281mg/L TN:0.2560mg/L	0.07644	26.14	0.00987	3.86	1	81	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TN_05_5ppm.2021_10_14_03_07_56.cal	1.00			12/12/2022 11:47:27	1	2	TN	0.2384	0.2924	0.2490	0.2560	TC:-0.1281mg/L TN:0.2560mg/L	TC:-0.1281mg/L TN:0.2560mg/L	0.07644	26.14	0.00987	3.86	0	81	
Unknown	TC/TN	watercheck	watercheck	C:\TOC-L\Methods\TOC_TN_watercheck TN and TC.met	C:\TOC-L\CalCurves\TOC_TN_TN_05_5ppm.2021_10_14_03_07_56.cal	1.00			12/12/2022 11:49:57	1	3	TN	0.3465	0.2924	0.2629	0.2560	TC:-0.1281mg/L TN:0.2560mg/L	TC:-0.1281mg/L TN:0.2560mg/L	0.07644	26.14	0.00987	3.86	0	81	
Unknown	TOC	Untitled	Untitled	C:\TOC-L\Methods\TOC_TN_TOCcheck.met	C:\TOC-L\CalCurves\TOC_TN_TC_5_50ppm.2021_10_13_16_05_25.cal	1.00			12/12/2022 11:55:18	1	1	TC	0.4238	169.6	0.2379	40.79	TOC:3.076mg/L TC:40.79mg/L IC:37.72mg/L	TOC:3.076mg/L TC:40.79mg/L IC:37.72mg/L	1.834	1.08	0.4397	1.08	1	50	
Unknown	TOC	Untitled	Untitled	C:\TOC-L\Methods\TOC_TN_TOCcheck.met	C:\TOC-L\CalCurves\TOC_TN_TC_5_50ppm.2021_10_13_16_05_25.cal	1.00			12/12/2022 11:58:20	1	2	TC	171.0	169.6	41.14	40.79	TOC:3.076mg/L TC:40.79mg/L IC:37.72mg/L	TOC:3.076mg/L TC:40.79mg/L IC:37.72mg/L	1.834	1.08	0.4397	1.08	0	50	
Unknown	TOC	Untitled	Untitled	C:\TOC-L\Methods\TOC_TN_TOCcheck.met	C:\TOC-L\CalCurves\TOC_TN_TC_5_50ppm.2021_10_13_16_05_25.cal	1.00			12/12/2022 12:01:11	1	3	TC	163.9	169.6	39.43	40.79	TOC:3.076mg/L TC:40.79mg/L IC:37.72mg/L	TOC:3.076mg/L TC:40.79mg/L IC:37.72mg/L	1.834	1.08	0.4397	1.08	1	50	
Unknown	TOC	Untitled	Untitled	C:\TOC-L\Methods\TOC_TN_TOCcheck.met	C:\TOC-L\CalCurves\TOC_TN_TC_5_50ppm.2021_10_13_16_05_25.cal	1.00			12/12/2022 12:04:01	1	4	TC	167.5	169.6	40.30	40.79	TOC:3.076mg/L TC:40.79mg/L IC:37.72mg/L	TOC:3.076mg/L TC:40.79mg/L IC:37.72mg/L	1.834	1.08	0.4397	1.08	0	50	
